Common Name,Scientific Name,Location
Celandine Poppy,Stylophorum diphyllum,"L,B"
Common Blue-Eyed Grass,Sisyrinchium albidum,L
Jacob's Ladder,Polemonium caeruleum,"L, B, C"
Wild Geranium,Geranium maculatum,"L, B, C"
Wild Petunia,Ruellia humilis,L
Golden Alexanders,Zizia Aurea,"L, F, S, N"
Woodland Phlox,Phlox divaricata,"L, B"
Prairie Dropseed,Sporobolus heterolepis,"L, S, N"
Butterfly Weed,Asclepias tuberosa,"L, F, N"
Purple Prairie Clover,Dalea purpurea,"L, F, S, N"
Dog Violet,Viola conspersa,L
White Trout Lily,Erythronium americanum,"L, C"
Virginia Bluebells,Mertensia virginica,"L, B, C"
Jack-in-the-Pulpit,Arisaema triphyllum,"L, B"
Bloodroot,Sanguinaria canadensis,"L, B"
Mayapple,Podophyllum peltatum,"L, C"
Wild Columbine,Aquilegia canadensis,"L, B"
True Solomons Seal,Polygonatum commutatum,"L, B"
False Solomons Seal,Maianthemum racemosum,"L, B"
Pale Beardtounge,Penstemon pallidus,"L, N"
Yellow Coneflower,Ratibida pinnata,"L, F, S, N"
False Sunflower,Heliopsis helianthoides,"L, F, S"
Prairie Milkweed,Asclepias sullivantii,"L, F, N"
Sweet Joe Pye-weed,Eutrochium purpureum,L
Wild Quinine,Parthenium integrifolium,"L, F, S, N"
Rattlesnake Master,Eryngium yuccifolium,"L, F, S, N"
Hoary Vervain,Verbena stricta,"L, F, S"
Showy Goldenrod,Solidago speciosa,"L, S, N"
Cream Wild Indigo,Baptisia bractea,"L, F"
Switch Grass,Pancium virgatum,"L, F"
Prairie Coreopsis,Coreopsis palmata,"L, F, S"
Rough Blazingstar,Liatris aspera,"L, F, S, N"
Ironweed (?),Veronia fasticula,L
Culvers Root,Veronicastrum virginicum,"L, N"
Leadplant,Amorpha canescans,"L, F, N"
Compass Plant,Silphium laciniatum,"L, F, S, N"
Royal Catchfly,Silene regia,L
Calico Aster,Symphotrichum lateriflorum,L
Smooth Blue aster,Symphotrichum laeve,"L, F, S, N"
Bee Balm,Monarda fistulosa,"L, F, S"
Rosinweed,Silphium integrifolium,"L, F, S, N"
Ironweed (?),Veronia fasticula,L
New England Aster,Symphyotrichum novae-angliae,"L, F, S, N"
Great Blue Lobelia,Lobelia siphilitica,L
Brown-eyed Susan,Rudbeckia triloba,"L, S"
Elm Leaved Goldenrod,Solidago ulmifolia,L
Prairie Trillium,Trillium recurvatum,C
Cutleaf Toothwort,Cardamine concatenata,C
Green Dragon,Arisaema dracontium ,B
Duchman's Breeches,Dicentra cucullaria,B
Hairy Sweet Cicely,Osmorhiza claytonii,B
Spring Beauty,Claytonia virginica,B
Yellow Trout Lily,Erythronium americanum,B
Bellwort,Uvularia grandiflora,B
Thimbleweed,Anemone cylindrica,"F, L, S, N"
Swamp Milkweed,Asclepias incarnata,"L, N"
Heath Aster,Symphyotrichum ericoides,"F, N"
Sky Blue Aster,Symphyotrichum oolentagiense,F
White Wild Indigo,Baptisia alba,"F, N"
Partridge Pea,Chamaercrista fasciculata,"F, N"
New Jersey Tea,Ceanothus americanus,F
Tall Coreopsis,Coreopsis tripteris,"F, S"
Showy Tick Trefoil,Desmodium canadense,"F, S, N"
Illinois Tick Trefoil,Desmodium illinoense,"F, N"
Pale Purple Coneflower,Echinacea pallida,"F, S, N"
Purple Coneflower,Echinacea purpurea,F
Flowering Spurge,Euphorbia corollata,"F, N"
Round-headed Bush Clover,Lespedeza capitata,"F, S, N"
Prairie Blazing Star,Liatris pycnostachya,"L, F, S, N"
Foxglove Beardtounge,Penstemon digitalis,"L,F, N"
Prairie Cinquefoil,Potentilla arugta,"F, S, N"
Common Mountain Mint ,Pycnanthemum virginianum,"L, F, S, N"
Black-eyed Susan,Rudbeckia hirta,"L, F, S"
Sweet  Black-eyed Susan,Rudbeckia subtomentosa,"F, S, N"
Prairie Dock,Silphium terebinthinaceum,"F, S, N"
Stiff Goldenrod,Solidago rigida,"L,F, S, N"
Early Goldenrod,Solidago juncea,"F, S"
Ohio Spiderwort,Tradescantia ohiensis,"L, F, S, N"
Brown Fox Sedge,Carex vulpinoidea,F
Side-Oats Grama,Bouteloua curtipendula,S
Prairie Oval Sedge,Carex bicknellii,S
Short Sedge,Carex brevior,S
Meadow Sedge,Carex granularis,S
Heavy Sedge,Carex gravida,S
Canada Wild Rye,Elymus canadensis,S
Virginia Wild Rye,Elymus virginicus,S
Little Bluestem,Schizachyrium scoparium,S
Willow Aster,Symphotrichum praeltum,S
Pasture Thistle,Cirsium discolor,S
Biennial Guara,Guara biennis,S
False Boneset,Kuhnia eupatororiodes,S
Slender Bush Clover,Lespedeza virginica,S
Marsh Blazing Star,Liatris Spicate,S
Wood Betony,Pedicularis canadensis,S
Hairy Mountain Mint,Pycnanthemum pilosum,S
Orange Coneflower,Rudbeckia fulgida,S
Late Figwort,Scrophularia marilandica,S
Cup Plant,Sylphium perfoliatum,S
Waxy Meadow Rue,Thalictrum revolutum,S
Yellow Crownbeard,Verbesina helianthoides,S
Missouri Ironweed ,Vernonia missurica,"S, N"
Aromatic Aster,Symphotrichum oblongifolium,N
Canadian Milk Vetch,Astragalus canadensis,N
Illinois Sensitive Plant,Desmanthus illinoensis,N
Bluestem Goldenrod,Solidago solida,N
